,epoch,train_loss,test_loss,train_acc,test_acc
0,1,2.2763866186141968,2.253081238269806,0.16248,0.2152
1,2,2.2361810641288757,2.2222262024879456,0.24428,0.2617
2,3,2.208004346847534,2.1978676557540893,0.28086,0.2912
3,4,2.185117785453796,2.177218852043152,0.30716,0.3091
4,5,2.164516215801239,2.15862295627594,0.32166,0.3221
5,6,2.146911322593689,2.1419846057891845,0.33442,0.3326
6,7,2.130213532447815,2.127090768814087,0.34364,0.338
7,8,2.115733518600464,2.11307448387146,0.35186,0.3443
8,9,2.101975097179413,2.1001060438156127,0.358,0.3492
9,10,2.0889142537117005,2.08808717250824,0.36366,0.3561
10,11,2.0769293265342714,2.076735668182373,0.3699,0.359
11,12,2.0653313410282137,2.0657782125473023,0.37314,0.3645
12,13,2.0541473405361175,2.055329294204712,0.3786,0.3687
13,14,2.0432305123806,2.045736253261566,0.38224,0.3723
14,15,2.033160206079483,2.036162700653076,0.38738,0.3731
15,16,2.023854334115982,2.02720774769783,0.38584,0.375
16,17,2.0146333270072936,2.018545324802399,0.39062,0.3782
17,18,2.0054718499183655,2.010197627544403,0.39384,0.3813
18,19,1.9967258622646331,2.002032163143158,0.3941,0.3824
19,20,1.9878630826473236,1.9944087028503419,0.39564,0.3827
20,21,1.9791333646774292,1.9865926730632781,0.39968,0.3844
21,22,1.9710862302780152,1.9790207660198211,0.4012,0.3876
22,23,1.9633866572380065,1.9720162379741668,0.40428,0.3903
23,24,1.9557326610088348,1.9653783226013184,0.40602,0.3916
24,25,1.9474230699539186,1.9586081767082215,0.40974,0.3913
25,26,1.9404600064754487,1.9517617237567901,0.41036,0.3939
26,27,1.9322179088592528,1.9451349771022797,0.41196,0.3949
27,28,1.925252212524414,1.938899153470993,0.41564,0.3972
28,29,1.918456291437149,1.9328272235393524,0.41734,0.3977
29,30,1.9111685924530029,1.926901181936264,0.41808,0.3978
30,31,1.9047838530540466,1.920935148000717,0.42016,0.3987
31,32,1.8975070161819458,1.9151709520816802,0.4227,0.4016
32,33,1.8905944554805756,1.9095237338542939,0.42474,0.4007
33,34,1.8851712172031403,1.9041667938232423,0.4237,0.4021
34,35,1.8784679973125458,1.8988148593902587,0.42468,0.4027
35,36,1.8719932105541228,1.8938901472091674,0.42864,0.4032
36,37,1.8655799586772919,1.8881141829490662,0.43014,0.406
37,38,1.8585164005756378,1.8833143138885498,0.43184,0.4067
38,39,1.853136822462082,1.8783557879924775,0.43382,0.4076
39,40,1.8466973061561585,1.873311277627945,0.43536,0.4103
40,41,1.8412176291942597,1.8687668609619141,0.43488,0.4079
41,42,1.8353850440979005,1.8641098952293396,0.43914,0.4097
42,43,1.829408536195755,1.859591499567032,0.43882,0.4105
43,44,1.8231490235328673,1.8549239253997802,0.4421,0.4109
44,45,1.8172757556438446,1.8507274436950683,0.44122,0.4116
45,46,1.8120525233745575,1.8463060986995696,0.44228,0.4117
46,47,1.8068195838928223,1.8425881230831147,0.44422,0.4131
47,48,1.8008205218315125,1.8382394862174989,0.44642,0.4128
48,49,1.7959347302913666,1.83374671459198,0.44682,0.4125
49,50,1.7901623921394347,1.8306547570228577,0.45178,0.4152
50,51,1.785961062192917,1.826052623987198,0.45028,0.4139
51,52,1.7800505106449127,1.8221534299850464,0.45072,0.4146
52,53,1.7735286583900451,1.8180492007732392,0.45384,0.4157
53,54,1.7696275839805602,1.8143806111812593,0.45504,0.4167
54,55,1.7653383309841155,1.8111760795116425,0.4553,0.418
55,56,1.7588000819683074,1.8074776875972747,0.45764,0.4165
56,57,1.7549317324161529,1.8029753470420837,0.4569,0.4197
57,58,1.7483650979995728,1.7997215461730958,0.46172,0.422
58,59,1.743462194919586,1.796640123128891,0.46456,0.4216
59,60,1.7382072801589965,1.792546707391739,0.46448,0.4196
60,61,1.7339099059104919,1.789933614730835,0.46386,0.4228
61,62,1.7289202852249146,1.786611807346344,0.46324,0.4199
62,63,1.724661078929901,1.7836658120155335,0.46806,0.4214
63,64,1.7183230214118959,1.7806948709487915,0.4703,0.4211
64,65,1.7149150886535645,1.7775623822212219,0.46954,0.422
65,66,1.7104997746944428,1.7731666028499604,0.47038,0.4248
66,67,1.7058920910358428,1.7703153669834137,0.47372,0.4234
67,68,1.7014557247161866,1.767083945274353,0.47388,0.4219
68,69,1.6956257059574127,1.7655479097366333,0.47498,0.4231
69,70,1.690935978412628,1.7615280306339265,0.47474,0.4236
70,71,1.6872404265403746,1.7584846496582032,0.47728,0.4243
71,72,1.6824899864196778,1.7564357590675355,0.47638,0.4236
72,73,1.6761958255767822,1.7535478579998016,0.48108,0.4256
73,74,1.6721850590705871,1.7516067242622375,0.48244,0.4269
74,75,1.6683035140037537,1.748071573972702,0.48226,0.4262
75,76,1.6643766407966614,1.7464269936084746,0.48458,0.4273
76,77,1.659556274652481,1.743407769203186,0.48308,0.4257
77,78,1.6551436195373534,1.7411528086662293,0.48456,0.4261
78,79,1.6497857117652892,1.738571778535843,0.48664,0.4266
79,80,1.6458040187358856,1.7370758175849914,0.49042,0.4256
